Date,TAVG (Degrees Fahrenheit),PRCP (Inches)
7/28/2019,63,0
7/29/2019,62,0
7/30/2019,63,0
7/31/2019,62,0
8/1/2019,62,0
8/2/2019,62,0
8/3/2019,,
8/4/2019,,
8/5/2019,62,0
8/6/2019,61,0
8/7/2019,60,0.02
8/8/2019,59,0.5
8/9/2019,59,0.06
8/10/2019,60,0.19
8/11/2019,60,0.56
8/12/2019,60,1.14
8/13/2019,59,1.77
8/14/2019,60,1.13
8/15/2019,61,0.11
8/16/2019,62,0
8/17/2019,61,0.04
8/18/2019,61,
8/19/2019,63,0.02
8/20/2019,61,0
8/21/2019,60,0.08
8/22/2019,59,0.13
8/23/2019,58,0.22
8/24/2019,60,0.28
8/25/2019,61,0
8/26/2019,59,0.46
8/27/2019,61,0.1
8/28/2019,61,0
8/29/2019,62,0
8/30/2019,59,1.02
8/31/2019,60,0
9/1/2019,59,0.11
9/2/2019,61,0.26
9/3/2019,62,0
9/4/2019,60,0.02
9/5/2019,60,0
9/6/2019,61,0.12
9/7/2019,60,0.11
9/8/2019,62,0
9/9/2019,62,0
9/10/2019,63,0.01
9/11/2019,61,0
9/12/2019,60,0.16
9/13/2019,61,0.05
9/14/2019,62,0.04
9/15/2019,61,0.09
9/16/2019,60,0.91
9/17/2019,60,0.3
9/18/2019,60,0.12
9/19/2019,60,0.24
9/20/2019,63,0.11
9/21/2019,62,0.05
9/22/2019,60,0
9/23/2019,60,0.53
9/24/2019,60,1.46
9/25/2019,57,0
9/26/2019,58,1.31
9/27/2019,62,0.59
9/28/2019,60,0
9/29/2019,60,0.58
9/30/2019,60,0.02
10/1/2019,62,0
10/2/2019,62,0
10/3/2019,59,0.03
10/4/2019,61,0.38
10/5/2019,60,1.13
10/6/2019,59,0.17
10/7/2019,60,1.9
10/8/2019,60,0.35
10/9/2019,60,0
10/10/2019,60,0.67
10/11/2019,59,0.04
10/12/2019,61,1.05
10/13/2019,61,1.01
10/14/2019,62,0.11
10/15/2019,62,0.04
10/16/2019,61,0.36
10/17/2019,60,0.11
10/18/2019,61,1.31
10/19/2019,60,0.12
10/20/2019,61,0.44
10/21/2019,61,0.11
10/22/2019,60,0.82
10/23/2019,61,0.1
10/24/2019,58,0.11
10/25/2019,60,0.36
10/26/2019,59,0.06
10/27/2019,60,0.09
10/28/2019,59,1.81
10/29/2019,59,0.65
10/30/2019,61,0.25
10/31/2019,61,0
11/1/2019,61,0
11/2/2019,60,0.04
11/3/2019,60,0.04
11/4/2019,62,0.85
11/5/2019,60,0.07
11/6/2019,59,0.37
11/7/2019,62,0
11/8/2019,62,0
11/9/2019,60,0
11/10/2019,61,2.37
11/11/2019,60,0.09
11/12/2019,59,0.04
11/13/2019,63,0
11/14/2019,62,0
11/15/2019,62,0
11/16/2019,61,0.85
11/17/2019,61,1.7
11/18/2019,60,0
11/19/2019,60,0.41
11/20/2019,60,0.05
11/21/2019,60,0
11/22/2019,60,0.09
11/23/2019,60,0.27
11/24/2019,60,0.15
11/25/2019,60,0.15
11/26/2019,60,0.13
11/27/2019,61,0.17
11/28/2019,60,0.28
11/29/2019,62,0.25
11/30/2019,61,1.23
12/1/2019,60,3.93
12/2/2019,62,0.42
12/3/2019,60,0.15
12/4/2019,60,0.8
12/5/2019,60,1.61
12/6/2019,63,0.43
12/7/2019,57,0
12/8/2019,59,0.09
12/9/2019,59,0
12/10/2019,63,0
12/11/2019,58,0.58
12/12/2019,60,0
12/13/2019,63,0
12/14/2019,58,0.11
12/15/2019,59,0
12/16/2019,58,0
12/17/2019,60,0.05
12/18/2019,60,0.93
12/19/2019,60,1.19
12/20/2019,59,2.16
12/21/2019,62,1.01
12/22/2019,61,0
12/23/2019,61,0
12/24/2019,60,0
12/25/2019,62,0
12/26/2019,59,0
12/27/2019,59,0
12/28/2019,59,0
12/29/2019,59,0
12/30/2019,58,0
12/31/2019,59,0
1/1/2020,62,0
1/2/2020,61,0
1/3/2020,60,0.06
1/4/2020,59,0
1/5/2020,60,0
1/6/2020,60,0
1/7/2020,60,0
1/8/2020,58,0.06
1/9/2020,55,0
1/10/2020,57,0
1/11/2020,61,0
1/12/2020,58,0
1/13/2020,59,0
1/14/2020,57,0
1/15/2020,58,0
1/16/2020,59,0
1/17/2020,62,0
1/18/2020,61,0.06
1/19/2020,61,0
1/20/2020,61,0.14
1/21/2020,61,0
1/22/2020,60,0.68
1/23/2020,60,0.31
1/24/2020,60,0.03
1/25/2020,57,0
1/26/2020,56,0
1/27/2020,61,0
1/28/2020,61,0
1/29/2020,63,0
1/30/2020,64,0
1/31/2020,61,0
2/1/2020,57,0
2/2/2020,56,0
2/3/2020,57,0
2/4/2020,57,0
2/5/2020,60,0
2/6/2020,62,0
2/7/2020,61,0
2/8/2020,61,0
2/9/2020,58,0
2/10/2020,59,0
2/11/2020,60,0
2/12/2020,60,0.27
2/13/2020,59,0.5
2/14/2020,62,0
2/15/2020,61,0
2/16/2020,61,0
2/17/2020,57,0
2/18/2020,59,0
2/19/2020,62,0
2/20/2020,62,0
2/21/2020,61,0.11
2/22/2020,58,0.59
2/23/2020,59,0.04
2/24/2020,60,0.06
2/25/2020,64,0
2/26/2020,59,0
2/27/2020,59,0
2/28/2020,58,0
2/29/2020,59,0
3/1/2020,61,0
3/2/2020,60,0
3/3/2020,61,0
3/4/2020,65,0
3/5/2020,61,0
3/6/2020,63,0
3/7/2020,60,0
3/8/2020,62,0.45
3/9/2020,63,0
3/10/2020,63,0
3/11/2020,60,0
3/12/2020,64,0
3/13/2020,57,0
3/14/2020,58,0
3/15/2020,62,0
3/16/2020,65,0
3/17/2020,62,0
3/18/2020,63,0.07
3/19/2020,64,0
3/20/2020,62,0
3/21/2020,61,0
3/22/2020,62,0
3/23/2020,64,0
3/24/2020,63,0
3/25/2020,64,0
3/26/2020,62,0
3/27/2020,56,0
3/28/2020,62,0
3/29/2020,63,0
3/30/2020,64,0
3/31/2020,63,0
4/1/2020,67,0
4/2/2020,64,0
4/3/2020,62,0
4/4/2020,62,0
4/5/2020,64,0.34
4/6/2020,64,0
4/7/2020,63,0
4/8/2020,62,0
4/9/2020,61,0
4/10/2020,64,0
4/11/2020,66,0.03
4/12/2020,65,0
4/13/2020,66,0.01
4/14/2020,63,0
4/15/2020,63,0.59
4/16/2020,62,0.18
4/17/2020,63,0.25
4/18/2020,62,0.08
4/19/2020,63,0.56
4/20/2020,63,0.15
4/21/2020,64,0
4/22/2020,62,0
4/23/2020,63,0.31
4/24/2020,63,0.07
4/25/2020,65,0
4/26/2020,63,0
4/27/2020,64,0
4/28/2020,63,0.08
4/29/2020,64,0
4/30/2020,63,0
5/1/2020,63,0.2
5/2/2020,63,0
5/3/2020,64,0
5/4/2020,63,0
5/5/2020,62,0.27
5/6/2020,62,0.07
5/7/2020,62,0.51
5/8/2020,65,0.97
5/9/2020,63,0.38
5/10/2020,63,0.25
5/11/2020,63,0.75
5/12/2020,63,0.39
5/13/2020,65,2.35
5/14/2020,68,0
5/15/2020,64,0.07
5/16/2020,63,0.74
5/17/2020,64,0
5/18/2020,62,0.91
5/19/2020,60,1.55
5/20/2020,62,0.06
5/21/2020,63,0
5/22/2020,61,0.51
5/23/2020,64,0.03
5/24/2020,65,0
5/25/2020,64,0
5/26/2020,64,0
5/27/2020,63,0.38
5/28/2020,65,0.03
5/29/2020,64,0.02
5/30/2020,65,1.06
5/31/2020,64,0.01
6/1/2020,65,0
6/2/2020,63,0
6/3/2020,64,0
6/4/2020,65,0
6/5/2020,64,0
6/6/2020,61,0.02
6/7/2020,61,0.31
6/8/2020,63,0.69
6/9/2020,63,0
6/10/2020,62,0
6/11/2020,60,0.45
6/12/2020,62,0.57
6/13/2020,62,0.03
6/14/2020,61,0.19
6/15/2020,62,0.16
6/16/2020,62,0
6/17/2020,62,0
6/18/2020,62,0
6/19/2020,63,0
6/20/2020,62,0.23
6/21/2020,61,0
6/22/2020,62,0.07
6/23/2020,63,0
6/24/2020,63,0
6/25/2020,61,0.36
6/26/2020,60,0.74
6/27/2020,61,0.06
6/28/2020,62,0
6/29/2020,62,0.01
6/30/2020,62,0.16
7/1/2020,61,0.01
7/2/2020,64,0
7/3/2020,62,0.3
7/4/2020,60,0.01
7/5/2020,62,0.03
7/6/2020,61,0
7/7/2020,62,0.17
7/8/2020,63,0
7/9/2020,62,0.54
7/10/2020,61,0.07
7/11/2020,61,0.01
7/12/2020,62,0.02
7/13/2020,63,0.02
7/14/2020,65,0
7/15/2020,62,0
7/16/2020,60,0.02
7/17/2020,61,0.17
7/18/2020,61,0
7/19/2020,62,0.99
7/20/2020,60,0.11
7/21/2020,62,0.13
7/22/2020,63,0
7/23/2020,62,0.01
7/24/2020,60,0.03
7/25/2020,60,0.01
7/26/2020,59,0.01
7/27/2020,60,0
7/28/2020,59,0.04
7/29/2020,59,0.56
7/30/2020,60,0.21
7/31/2020,61,0.17
8/1/2020,60,0.1
8/2/2020,60,0.86
8/3/2020,59,0.45
8/4/2020,59,0.42
8/5/2020,60,0.29
8/6/2020,60,1.68
8/7/2020,60,2.13
8/8/2020,60,1.33
8/9/2020,59,0.74
8/10/2020,60,0.69
8/11/2020,60,0.16
8/12/2020,61,0.15
8/13/2020,61,0
8/14/2020,61,0
8/15/2020,61,0
8/16/2020,61,0
8/17/2020,61,0
8/18/2020,61,0
8/19/2020,62,0
8/20/2020,61,0
8/21/2020,62,0
8/22/2020,63,0
8/23/2020,62,1.04
8/24/2020,61,0.31
8/25/2020,62,0.02
8/26/2020,61,0.07
8/27/2020,60,0.31
8/28/2020,60,1.04
8/29/2020,58,0.09
8/30/2020,61,0
8/31/2020,62,0
9/1/2020,62,0.31
9/2/2020,59,0.11
9/3/2020,60,0.09
9/4/2020,62,0
9/5/2020,63,0.03
9/6/2020,59,0.01
9/7/2020,60,0.71
9/8/2020,61,0
9/9/2020,59,0.17
9/10/2020,59,0.63
9/11/2020,60,0.08
9/12/2020,60,0.02
9/13/2020,59,0.22
9/14/2020,60,0.3
9/15/2020,60,0.05
9/16/2020,60,0.09
9/17/2020,64,0.03
9/18/2020,60,0.21
9/19/2020,59,2.14
9/20/2020,59,0.65
9/21/2020,59,1.14
9/22/2020,59,0.47
9/23/2020,61,0.08
9/24/2020,60,0
9/25/2020,60,0.25
9/26/2020,61,0
9/27/2020,62,0
9/28/2020,63,0
9/29/2020,60,0.05
9/30/2020,58,0.02
10/1/2020,58,0.07
10/2/2020,61,0
10/3/2020,60,0.02
10/4/2020,59,0
10/5/2020,62,0
10/6/2020,61,0
10/7/2020,61,0
10/8/2020,64,0
10/9/2020,60,0
10/10/2020,60,0.17
10/11/2020,59,0.48
10/12/2020,58,0.8
10/13/2020,58,0.06
10/14/2020,59,1.29
10/15/2020,59,0.92
10/16/2020,59,0.19
10/17/2020,59,0
10/18/2020,61,0
10/19/2020,61,0
10/20/2020,60,0
10/21/2020,60,0.11
10/22/2020,59,0.15
10/23/2020,60,0.02
10/24/2020,61,0
10/25/2020,61,0
10/26/2020,62,0
10/27/2020,61,0
10/28/2020,61,0
10/29/2020,63,0
10/30/2020,62,0
10/31/2020,62,0
11/1/2020,62,0
11/2/2020,63,0
11/3/2020,62,0.03
11/4/2020,61,0.06
11/5/2020,61,0.11
11/6/2020,61,0.26
11/7/2020,60,0
11/8/2020,61,0.02
11/9/2020,62,0.16
11/10/2020,63,0.01
11/11/2020,62,0.46
11/12/2020,63,0.11
11/13/2020,63,0
11/14/2020,62,0.04
11/15/2020,62,0.13
11/16/2020,61,0.5
11/17/2020,63,0.34
11/18/2020,62,0.37
11/19/2020,60,1.3
11/20/2020,61,0.12
11/21/2020,61,0.07
11/22/2020,60,0.24
11/23/2020,61,0.02
11/24/2020,62,0.08
11/25/2020,62,0.2
11/26/2020,61,0
11/27/2020,59,0
11/28/2020,61,0
11/29/2020,61,0
11/30/2020,62,0
12/1/2020,60,0
12/2/2020,59,0.36
12/3/2020,61,1.85
12/4/2020,59,0.07
12/5/2020,60,0.3
12/6/2020,61,0.02
12/7/2020,64,0
12/8/2020,61,0
12/9/2020,61,0.32
12/10/2020,61,0
12/11/2020,60,0
12/12/2020,59,0
12/13/2020,58,0
12/14/2020,55,0
12/15/2020,60,0
12/16/2020,59,0
12/17/2020,60,0
12/18/2020,60,0.26
12/19/2020,60,0.56
12/20/2020,59,0.81
12/21/2020,59,1.21
12/22/2020,59,0.48
12/23/2020,60,0
12/24/2020,60,0.1
12/25/2020,58,0
12/26/2020,60,0.08
12/27/2020,61,0.1
12/28/2020,61,0.25
12/29/2020,63,0.07
12/30/2020,62,0
12/31/2020,58,0.4
1/1/2021,59,0.72
1/2/2021,60,0
1/3/2021,60,0.08
1/4/2021,60,0.26
1/5/2021,63,0.43
1/6/2021,61,0.23
1/7/2021,60,0.01
1/8/2021,61,0
1/9/2021,58,0.15
1/10/2021,59,0.26
1/11/2021,61,0.27
1/12/2021,60,0.16
1/13/2021,60,0.19
1/14/2021,60,0.08
1/15/2021,59,0.51
1/16/2021,59,0
1/17/2021,59,0
1/18/2021,60,0
1/19/2021,61,0.27
1/20/2021,62,0.12
1/21/2021,61,0.08
1/22/2021,59,0
1/23/2021,57,0
1/24/2021,61,0
1/25/2021,59,0
1/26/2021,60,0
1/27/2021,57,0
1/28/2021,61,0
1/29/2021,59,0.01
1/30/2021,61,0.06
1/31/2021,60,0.15
2/1/2021,59,0.29
2/2/2021,58,0.11
2/3/2021,58,0.05
2/4/2021,59,0
2/5/2021,60,0
2/6/2021,59,0
2/7/2021,59,0.25
2/8/2021,58,0.1
2/9/2021,55,0.04
2/10/2021,59,0
2/11/2021,,
2/12/2021,,
2/13/2021,60,
2/14/2021,61,0
2/15/2021,60,0.01
2/16/2021,60,0
2/17/2021,60,0
2/18/2021,59,0
2/19/2021,62,0
2/20/2021,,
2/21/2021,,
2/22/2021,61,0.54
2/23/2021,60,0
2/24/2021,59,0
2/25/2021,59,0
2/26/2021,60,0
2/27/2021,62,0
2/28/2021,62,0
3/1/2021,58,0
3/2/2021,56,0
3/3/2021,56,0
3/4/2021,59,0
3/5/2021,61,0
3/6/2021,60,0
3/7/2021,62,0.97
3/8/2021,62,0.05
3/9/2021,62,0.11
3/10/2021,60,0
3/11/2021,58,0.64
3/12/2021,61,0.18
3/13/2021,62,0
3/14/2021,61,0
3/15/2021,62,0.01
3/16/2021,62,0
3/17/2021,61,0
3/18/2021,61,0
3/19/2021,61,0
3/20/2021,62,0
3/21/2021,64,0
3/22/2021,64,0.11
3/23/2021,63,0
3/24/2021,60,0
3/25/2021,60,0.1
3/26/2021,62,0.07
3/27/2021,61,0.06
3/28/2021,60,0.21
3/29/2021,61,0.5
3/30/2021,60,1.28
3/31/2021,63,0
4/1/2021,62,0
4/2/2021,63,0
4/3/2021,61,0
4/4/2021,63,0
4/5/2021,65,0
4/6/2021,60,0
4/7/2021,60,0
4/8/2021,60,0
4/9/2021,61,0.16
4/10/2021,61,0.01
4/11/2021,61,1.41
4/12/2021,62,0.67
4/13/2021,61,0.12
4/14/2021,61,0.2
4/15/2021,60,0.26
4/16/2021,62,1.06
4/17/2021,62,0.16
4/18/2021,57,0
4/19/2021,61,0.1
4/20/2021,63,0
4/21/2021,61,0
4/22/2021,60,0
4/23/2021,62,0.08
4/24/2021,61,0
4/25/2021,61,0
4/26/2021,61,0
4/27/2021,64,0
4/28/2021,63,0
4/29/2021,64,0
4/30/2021,62,0
5/1/2021,64,0
5/2/2021,63,0
5/3/2021,67,0.06
5/4/2021,62,0.81
5/5/2021,63,0.17
5/6/2021,62,0
5/7/2021,62,0.13
5/8/2021,64,0
5/9/2021,62,0
5/10/2021,62,0.61
5/11/2021,63,0.24
5/12/2021,64,0.8
5/13/2021,64,1.13
5/14/2021,62,0.54
5/15/2021,63,0.61
5/16/2021,64,0
5/17/2021,65,0
5/18/2021,64,0
5/19/2021,63,0
5/20/2021,62,0.31
5/21/2021,61,0.06
5/22/2021,62,0.02
5/23/2021,62,0.03
5/24/2021,65,0.48
5/25/2021,60,2.54
5/26/2021,59,0.51
5/27/2021,60,1.18
5/28/2021,61,0.23
5/29/2021,61,0.06
5/30/2021,61,0.09
5/31/2021,62,0
6/1/2021,62,0
6/2/2021,64,0
6/3/2021,63,0.01
6/4/2021,62,1.6
6/5/2021,61,0.45
6/6/2021,62,0.06
6/7/2021,63,0
6/8/2021,62,0.02
6/9/2021,62,0.77
6/10/2021,61,0.02
6/11/2021,60,0
6/12/2021,62,0
6/13/2021,61,0.12
6/14/2021,60,1
6/15/2021,60,0
6/16/2021,61,0
6/17/2021,60,0
6/18/2021,61,0
6/19/2021,62,0
6/20/2021,63,0
6/21/2021,63,0
6/22/2021,61,0
6/23/2021,62,0
6/24/2021,60,0.15
6/25/2021,61,0.1
6/26/2021,60,0
6/27/2021,59,0.05
6/28/2021,61,0
6/29/2021,64,0
6/30/2021,65,0
7/1/2021,62,0.02
7/2/2021,60,0.17
7/3/2021,62,0
7/4/2021,60,0
7/5/2021,63,0.58
7/6/2021,62,0.57
7/7/2021,63,0.05
7/8/2021,63,0.03
7/9/2021,61,0.01
7/10/2021,57,3.71
7/11/2021,59,0.52
7/12/2021,60,0.22
7/13/2021,61,0.13
7/14/2021,61,0
7/15/2021,61,0.01
7/16/2021,62,0
7/17/2021,63,0.01
7/18/2021,62,0.06
7/19/2021,61,0.01
7/20/2021,61,0
7/21/2021,60,0
7/22/2021,60,0.01
7/23/2021,59,0.12
7/24/2021,60,0.63
7/25/2021,61,0.13
7/26/2021,60,0.4
7/27/2021,62,0.37
7/28/2021,62,0.02
7/29/2021,63,0.11
7/30/2021,63,0
7/31/2021,63,0
8/1/2021,62,0
8/2/2021,60,0
8/3/2021,61,0
8/4/2021,61,0
8/5/2021,61,0
8/6/2021,61,0.07
8/7/2021,62,0.07
8/8/2021,61,0.37
8/9/2021,61,0.22
8/10/2021,61,0.08
8/11/2021,62,0
8/12/2021,59,0.91
8/13/2021,62,0.53
8/14/2021,59,0.03
8/15/2021,60,0.13
8/16/2021,60,0
8/17/2021,60,0
8/18/2021,60,0.01
8/19/2021,60,0.13
8/20/2021,64,0
8/21/2021,60,0.04
8/22/2021,60,0.09
8/23/2021,,
8/24/2021,62,0
8/25/2021,61,0.01
8/26/2021,60,0.33
8/27/2021,60,0.17
8/28/2021,59,0.24
8/29/2021,59,0.69
8/30/2021,59,0.63
8/31/2021,60,0.09
9/1/2021,62,0
9/2/2021,59,0.11
9/3/2021,59,0.04
9/4/2021,59,0.15
9/5/2021,60,0.13
9/6/2021,60,0.78
9/7/2021,61,0.14
9/8/2021,61,0
9/9/2021,62,0
9/10/2021,62,0
9/11/2021,61,0
9/12/2021,61,0
9/13/2021,61,0.02
9/14/2021,62,0.04
9/15/2021,63,0.02
9/16/2021,63,0.12
9/17/2021,62,0.11
9/18/2021,63,0
9/19/2021,63,0
9/20/2021,61,0.08
9/21/2021,60,0.07
9/22/2021,62,0.02
9/23/2021,62,0
9/24/2021,62,0
9/25/2021,61,1.99
9/26/2021,61,0
9/27/2021,58,1.69
9/28/2021,58,0.62
9/29/2021,60,0.09
9/30/2021,60,0.01
10/1/2021,59,0.11
10/2/2021,61,2.59
10/3/2021,62,0.18
10/4/2021,61,0.02
10/5/2021,61,0.09
10/6/2021,60,0.48
10/7/2021,62,0.08
10/8/2021,61,0
10/9/2021,62,0
10/10/2021,60,0.08
10/11/2021,59,1.56
10/12/2021,59,0
10/13/2021,61,0.2
10/14/2021,61,0.02
10/15/2021,61,0
10/16/2021,59,0.06
10/17/2021,60,0.06
10/18/2021,59,0.04
10/19/2021,63,0
10/20/2021,62,0.26
10/21/2021,62,0.23
10/22/2021,62,0.8
10/23/2021,59,0.13
10/24/2021,61,3.27
10/25/2021,63,0.05
10/26/2021,61,0.15
10/27/2021,62,1.37
10/28/2021,62,0
10/29/2021,61,0.39
10/30/2021,61,1.6
10/31/2021,63,1.2
11/1/2021,62,0.19
11/2/2021,63,0.96
11/3/2021,60,0.33
11/4/2021,61,1.3
11/5/2021,60,0.03
11/6/2021,60,0
11/7/2021,60,0.61
11/8/2021,59,0.72
11/9/2021,61,0.65
11/10/2021,59,0.28
11/11/2021,60,0.24
11/12/2021,58,0.24
11/13/2021,59,0.17
11/14/2021,60,0.04
11/15/2021,61,0.24
11/16/2021,61,0.18
11/17/2021,61,0
11/18/2021,59,0.15
11/19/2021,61,0.01
11/20/2021,63,0.64
11/21/2021,61,0
11/22/2021,63,0
11/23/2021,62,0
11/24/2021,61,1.11
11/25/2021,60,0.51
11/26/2021,62,0.24
11/27/2021,61,0.28
11/28/2021,61,0.49
11/29/2021,60,0.33
11/30/2021,61,0.02
12/1/2021,59,0.02
12/2/2021,62,0
12/3/2021,63,0.49
12/4/2021,61,0
12/5/2021,61,0
12/6/2021,61,0.28
12/7/2021,60,0
12/8/2021,62,0
12/9/2021,60,0.28
12/10/2021,60,0
12/11/2021,61,0.09
12/12/2021,60,0.02
12/13/2021,59,0.76
12/14/2021,59,0.26
12/15/2021,59,0.08
12/16/2021,60,0.04
12/17/2021,61,0
12/18/2021,62,0
12/19/2021,58,0.69
12/20/2021,60,0
12/21/2021,59,0
12/22/2021,60,0
12/23/2021,59,0.01
12/24/2021,58,0
12/25/2021,60,0
12/26/2021,58,0
12/27/2021,55,0
12/28/2021,56,0
12/29/2021,58,0
12/30/2021,61,0
12/31/2021,58,0.04
1/1/2022,61,0.06
1/2/2022,59,0.02
1/3/2022,59,0.13
1/4/2022,60,0.02
1/5/2022,,
1/6/2022,59,0.57
1/7/2022,62,0.02
1/8/2022,59,0
1/9/2022,58,0.04
1/10/2022,60,0.12
1/11/2022,,
1/12/2022,60,0
1/13/2022,61,0.02
1/14/2022,60,0
1/15/2022,,
1/16/2022,61,0
1/17/2022,58,0
1/18/2022,,
1/19/2022,59,0
1/20/2022,,
1/21/2022,59,0
1/22/2022,56,0
1/23/2022,,
1/24/2022,,
1/25/2022,,
1/26/2022,57,0
1/27/2022,,
1/28/2022,56,0
1/29/2022,,
1/30/2022,58,0
1/31/2022,60,0
2/1/2022,,
2/2/2022,,
2/3/2022,57,0
2/4/2022,61,0
2/5/2022,,
2/6/2022,,
2/7/2022,,
2/8/2022,61,0
2/9/2022,60,0
2/10/2022,,
2/11/2022,,
2/12/2022,63,0
2/13/2022,60,0.65
2/14/2022,59,0.02
2/15/2022,,
2/16/2022,60,0
2/17/2022,,
2/18/2022,60,0
2/19/2022,57,0.15
2/20/2022,,
2/21/2022,61,0
2/22/2022,59,0
2/23/2022,,
2/24/2022,59,0.07
2/25/2022,62,0
2/26/2022,,
2/27/2022,56,0.06
2/28/2022,58,0
3/1/2022,,
3/2/2022,58,0
3/3/2022,60,0.17
3/4/2022,60,0
3/5/2022,60,0.03
3/6/2022,,
3/7/2022,,
3/8/2022,,
3/9/2022,61,0
3/10/2022,63,0
3/11/2022,,
3/12/2022,61,0.01
3/13/2022,,
3/14/2022,59,0
3/15/2022,,
3/16/2022,,
3/17/2022,61,0
3/18/2022,,
