Date,TAVG (Degrees Fahrenheit),PRCP (Inches)
6/26/2019,,
6/27/2019,85,0
6/28/2019,,
6/29/2019,,
6/30/2019,84,0
7/1/2019,85,0
7/2/2019,84,0
7/3/2019,86,0.07
7/4/2019,86,0
7/5/2019,,
7/6/2019,88,0
7/7/2019,87,0
7/8/2019,88,0
7/9/2019,82,0
7/10/2019,,
7/11/2019,83,1.02
7/12/2019,,
7/13/2019,,
7/14/2019,84,0
7/15/2019,82,0.08
7/16/2019,85,0.2
7/17/2019,82,0
7/18/2019,80,0.2
7/19/2019,83,0.23
7/20/2019,,
7/21/2019,83,0.01
7/22/2019,83,0.01
7/23/2019,83,0
7/24/2019,85,0
7/25/2019,82,0.13
7/26/2019,,
7/27/2019,85,0.03
7/28/2019,84,0
7/29/2019,83,0
7/30/2019,85,0
7/31/2019,85,0
8/1/2019,85,0
8/2/2019,87,0
8/3/2019,,
8/4/2019,,
8/5/2019,84,0
8/6/2019,86,0.19
8/7/2019,83,0
8/8/2019,81,0.98
8/9/2019,82,0.12
8/10/2019,80,0.55
8/11/2019,83,0
8/12/2019,83,0
8/13/2019,80,0
8/14/2019,82,0.33
8/15/2019,83,0
8/16/2019,86,0
8/17/2019,,
8/18/2019,82,0
8/19/2019,82,0
8/20/2019,83,0.02
8/21/2019,82,0.17
8/22/2019,78,0.42
8/23/2019,81,0.67
8/24/2019,85,0.28
8/25/2019,83,0.02
8/26/2019,80,0.18
8/27/2019,81,0.57
8/28/2019,83,0.08
8/29/2019,84,0
8/30/2019,,
8/31/2019,,
9/1/2019,81,0.28
9/2/2019,83,0.14
9/3/2019,84,0.02
9/4/2019,83,0
9/5/2019,80,0.23
9/6/2019,83,0.98
9/7/2019,87,0.06
9/8/2019,84,0
9/9/2019,85,0
9/10/2019,85,0
9/11/2019,81,0
9/12/2019,79,0.48
9/13/2019,86,0
9/14/2019,84,0
9/15/2019,79,0.39
9/16/2019,78,0.95
9/17/2019,83,0.47
9/18/2019,82,0.39
9/19/2019,81,0.13
9/20/2019,84,0.11
9/21/2019,,
9/22/2019,81,0
9/23/2019,79,0.05
9/24/2019,78,0.98
9/25/2019,,
9/26/2019,82,
9/27/2019,,
9/28/2019,84,0
9/29/2019,81,0.02
9/30/2019,81,0
10/1/2019,79,0.05
10/2/2019,,
10/3/2019,80,0
10/4/2019,,
10/5/2019,,
10/6/2019,79,2.97
10/7/2019,80,0.52
10/8/2019,81,0.28
10/9/2019,81,0.5
10/10/2019,81,0.38
10/11/2019,,
10/12/2019,84,0.04
10/13/2019,80,0.08
10/14/2019,84,3.13
10/15/2019,81,0
10/16/2019,78,1.48
10/17/2019,80,0.45
10/18/2019,84,0.24
10/19/2019,81,0.01
10/20/2019,80,1.43
10/21/2019,78,1.1
10/22/2019,79,1.67
10/23/2019,80,0.11
10/24/2019,76,0.83
10/25/2019,84,0.69
10/26/2019,81,0.04
10/27/2019,78,0.03
10/28/2019,77,0.95
10/29/2019,80,0.38
10/30/2019,80,0
10/31/2019,81,0.03
11/1/2019,87,0.01
11/2/2019,85,0
11/3/2019,80,0.01
11/4/2019,81,0.03
11/5/2019,83,0.01
11/6/2019,83,0
11/7/2019,85,0
11/8/2019,87,0
11/9/2019,85,0
11/10/2019,82,0
11/11/2019,83,0.24
11/12/2019,83,1.31
11/13/2019,83,0
11/14/2019,83,0
11/15/2019,86,0
11/16/2019,81,1.07
11/17/2019,83,1.73
11/18/2019,83,0
11/19/2019,82,0
11/20/2019,83,0.22
11/21/2019,84,0
11/22/2019,84,0
11/23/2019,85,0
11/24/2019,81,0
11/25/2019,81,0
11/26/2019,82,0.32
11/27/2019,83,0.04
11/28/2019,81,0
11/29/2019,85,0.06
11/30/2019,80,0.21
12/1/2019,81,7.43
12/2/2019,80,0.19
12/3/2019,80,0.4
12/4/2019,78,0.19
12/5/2019,78,0.85
12/6/2019,,
12/7/2019,,
12/8/2019,,
12/9/2019,78,0
12/10/2019,82,0
12/11/2019,78,0.12
12/12/2019,,
12/13/2019,,
12/14/2019,86,0
12/15/2019,82,0
12/16/2019,81,0
12/17/2019,79,0
12/18/2019,79,0.35
12/19/2019,79,0.33
12/20/2019,72,1.86
12/21/2019,84,0.91
12/22/2019,79,0
12/23/2019,82,0
12/24/2019,83,0
12/25/2019,81,0
12/26/2019,82,0
12/27/2019,85,0
12/28/2019,85,0
12/29/2019,82,0
12/30/2019,82,0
12/31/2019,83,0
1/1/2020,83,0
1/2/2020,82,0
1/3/2020,88,0
1/4/2020,88,0
1/5/2020,85,0
1/6/2020,84,0
1/7/2020,84,0
1/8/2020,83,0
1/9/2020,83,0
1/10/2020,85,0
1/11/2020,86,0
1/12/2020,84,0
1/13/2020,82,0
1/14/2020,81,0
1/15/2020,81,0
1/16/2020,83,0
1/17/2020,84,0
1/18/2020,86,0.02
1/19/2020,84,0
1/20/2020,84,0.06
1/21/2020,84,0
1/22/2020,80,0.65
1/23/2020,83,0.15
1/24/2020,88,0
1/25/2020,86,0
1/26/2020,83,0
1/27/2020,83,0
1/28/2020,82,0
1/29/2020,83,0
1/30/2020,82,0
1/31/2020,87,0
2/1/2020,82,0
2/2/2020,82,0
2/3/2020,82,0
2/4/2020,83,0
2/5/2020,83,0
2/6/2020,82,0
2/7/2020,81,0
2/8/2020,82,0
2/9/2020,82,0
2/10/2020,81,0
2/11/2020,84,0
2/12/2020,83,0
2/13/2020,83,0
2/14/2020,84,0
2/15/2020,86,0
2/16/2020,85,0
2/17/2020,83,0
2/18/2020,82,0
2/19/2020,82,0
2/20/2020,85,0
2/21/2020,84,0
2/22/2020,83,0.02
2/23/2020,84,0
2/24/2020,84,0
2/25/2020,86,0
2/26/2020,85,0
2/27/2020,85,0
2/28/2020,82,0
2/29/2020,83,0
3/1/2020,86,0
3/2/2020,85,0
3/3/2020,84,0
3/4/2020,84,0
3/5/2020,85,0
3/6/2020,85,0
3/7/2020,84,0.59
3/8/2020,85,0
3/9/2020,87,0
3/10/2020,87,0
3/11/2020,83,0
3/12/2020,86,0
3/13/2020,79,0
3/14/2020,81,0
3/15/2020,86,0
3/16/2020,86,0
3/17/2020,84,0
3/18/2020,87,0
3/19/2020,86,0
3/20/2020,85,0
3/21/2020,85,0.31
3/22/2020,85,0
3/23/2020,85,0.39
3/24/2020,86,0
3/25/2020,87,0
3/26/2020,83,0
3/27/2020,80,0
3/28/2020,87,0
3/29/2020,87,0
3/30/2020,85,0.44
3/31/2020,85,0.34
4/1/2020,85,0
4/2/2020,86,0
4/3/2020,87,0
4/4/2020,82,0
4/5/2020,85,1.09
4/6/2020,87,0
4/7/2020,86,0
4/8/2020,86,0
4/9/2020,83,0.07
4/10/2020,82,0
4/11/2020,84,2.43
4/12/2020,83,0
4/13/2020,82,1.04
4/14/2020,79,0.1
4/15/2020,80,2.12
4/16/2020,83,0.94
4/17/2020,82,0
4/18/2020,82,3.45
4/19/2020,84,0
4/20/2020,86,0.09
4/21/2020,86,0.06
4/22/2020,83,0
4/23/2020,83,0.79
4/24/2020,82,3.02
4/25/2020,85,0
4/26/2020,84,0
4/27/2020,87,0.39
4/28/2020,85,0
4/29/2020,86,0.01
4/30/2020,84,0
5/1/2020,81,1.15
5/2/2020,87,0.08
5/3/2020,85,0
5/4/2020,85,0.2
5/5/2020,83,0
5/6/2020,81,1.26
5/7/2020,83,0.13
5/8/2020,84,1.08
5/9/2020,83,0.03
5/10/2020,82,2.09
5/11/2020,82,1.08
5/12/2020,84,0.16
5/13/2020,84,0
5/14/2020,86,0.02
5/15/2020,81,0.76
5/16/2020,83,3.54
5/17/2020,85,0
5/18/2020,83,1.47
5/19/2020,83,0.12
5/20/2020,85,0
5/21/2020,81,0.04
5/22/2020,83,1.76
5/23/2020,85,0
5/24/2020,85,0.02
5/25/2020,85,0
5/26/2020,85,0
5/27/2020,83,0
5/28/2020,85,0
5/29/2020,83,0.05
5/30/2020,85,0
5/31/2020,86,0
6/1/2020,85,0
6/2/2020,85,0
6/3/2020,85,0
6/4/2020,85,0
6/5/2020,85,0.01
6/6/2020,78,1.64
6/7/2020,80,0.76
6/8/2020,83,0.15
6/9/2020,85,0.04
6/10/2020,83,0.15
6/11/2020,80,0.17
6/12/2020,82,0.34
6/13/2020,84,0.05
6/14/2020,84,0
6/15/2020,85,0
6/16/2020,84,0.02
6/17/2020,83,0
6/18/2020,85,0.02
6/19/2020,85,0
6/20/2020,84,0
6/21/2020,82,0
6/22/2020,83,0.03
6/23/2020,83,0
6/24/2020,84,0
6/25/2020,82,0.01
6/26/2020,80,0.13
6/27/2020,83,0.09
6/28/2020,83,0.06
6/29/2020,83,0.01
6/30/2020,84,0.02
7/1/2020,84,0
7/2/2020,84,0
7/3/2020,82,0.1
7/4/2020,83,0
7/5/2020,85,0
7/6/2020,84,0
7/7/2020,85,0
7/8/2020,84,0
7/9/2020,82,0
7/10/2020,80,0.66
7/11/2020,82,1.34
7/12/2020,83,0
7/13/2020,83,0
7/14/2020,84,0.01
7/15/2020,83,0.01
7/16/2020,81,0.01
7/17/2020,82,0.08
7/18/2020,81,0
7/19/2020,80,0.03
7/20/2020,78,0.62
7/21/2020,83,0.07
7/22/2020,81,0
7/23/2020,81,0
7/24/2020,81,0.07
7/25/2020,82,0
7/26/2020,81,0
7/27/2020,82,0.01
7/28/2020,79,0.02
7/29/2020,79,1
7/30/2020,81,0.6
7/31/2020,82,0
8/1/2020,82,0.07
8/2/2020,80,1.03
8/3/2020,81,0.03
8/4/2020,81,0
8/5/2020,82,0.26
8/6/2020,78,0.76
8/7/2020,80,0.84
8/8/2020,80,0.13
8/9/2020,80,0.2
8/10/2020,81,0
8/11/2020,82,0.02
8/12/2020,82,0
8/13/2020,82,0
8/14/2020,82,0
8/15/2020,82,0
8/16/2020,82,0
8/17/2020,83,0
8/18/2020,83,0
8/19/2020,83,0
8/20/2020,83,0
8/21/2020,83,0
8/22/2020,84,0
8/23/2020,84,0
8/24/2020,84,0
8/25/2020,84,0
8/26/2020,84,0
8/27/2020,84,0
8/28/2020,84,0
8/29/2020,84,0
8/30/2020,84,0
8/31/2020,84,0
9/1/2020,81,0
9/2/2020,78,0.93
9/3/2020,80,0.56
9/4/2020,83,0
9/5/2020,81,0
9/6/2020,75,0.13
9/7/2020,81,0.43
9/8/2020,82,0
9/9/2020,78,0
9/10/2020,80,0.37
9/11/2020,81,0.17
9/12/2020,80,0.05
9/13/2020,81,0.1
9/14/2020,80,0
9/15/2020,82,0.13
9/16/2020,83,0.01
9/17/2020,81,0.04
9/18/2020,80,0.42
9/19/2020,80,0.14
9/20/2020,79,1.26
9/21/2020,79,0.71
9/22/2020,77,0.11
9/23/2020,81,0.77
9/24/2020,81,0.01
9/25/2020,79,0.06
9/26/2020,81,0.03
9/27/2020,83,0.01
9/28/2020,79,0.11
9/29/2020,78,1.64
9/30/2020,77,1.3
10/1/2020,81,0.23
10/2/2020,82,0
10/3/2020,81,0
10/4/2020,81,0
10/5/2020,82,0
10/6/2020,82,0
10/7/2020,81,0
10/8/2020,82,0
10/9/2020,80,0
10/10/2020,81,0.11
10/11/2020,79,0.39
10/12/2020,81,0.03
10/13/2020,82,0
10/14/2020,79,0.47
10/15/2020,79,0.74
10/16/2020,82,0.09
10/17/2020,81,0
10/18/2020,83,0
10/19/2020,83,0
10/20/2020,82,0
10/21/2020,81,0.08
10/22/2020,82,0.15
10/23/2020,82,0
10/24/2020,82,0.01
10/25/2020,83,0
10/26/2020,83,0
10/27/2020,83,0
10/28/2020,82,0
10/29/2020,80,0
10/30/2020,82,0.03
10/31/2020,83,0
11/1/2020,84,0
11/2/2020,83,0
11/3/2020,82,0
11/4/2020,80,0.22
11/5/2020,81,1.59
11/6/2020,81,1.02
11/7/2020,82,0.43
11/8/2020,79,0
11/9/2020,79,0.68
11/10/2020,78,0.54
11/11/2020,81,0
11/12/2020,81,0.35
11/13/2020,80,0.18
11/14/2020,80,0.62
11/15/2020,80,0.06
11/16/2020,80,0.11
11/17/2020,79,0
11/18/2020,79,1.74
11/19/2020,81,1.62
11/20/2020,80,0
11/21/2020,80,0.04
11/22/2020,78,0
11/23/2020,80,0
11/24/2020,78,0.26
11/25/2020,80,0.32
11/26/2020,82,0.03
11/27/2020,82,0
11/28/2020,82,0
11/29/2020,83,0
11/30/2020,83,0
12/1/2020,79,0
12/2/2020,76,0.38
12/3/2020,75,2.35
12/4/2020,79,1.59
12/5/2020,78,0.79
12/6/2020,81,0
12/7/2020,84,0
12/8/2020,80,0
12/9/2020,82,0
12/10/2020,81,0
12/11/2020,81,0
12/12/2020,80,0
12/13/2020,80,0
12/14/2020,78,0
12/15/2020,80,0
12/16/2020,81,0
12/17/2020,81,0
12/18/2020,78,0
12/19/2020,79,0.69
12/20/2020,76,0.52
12/21/2020,76,0.44
12/22/2020,75,0.22
12/23/2020,79,0.05
12/24/2020,80,0.19
12/25/2020,80,0
12/26/2020,76,0
12/27/2020,76,0.07
12/28/2020,77,0
12/29/2020,82,0.24
12/30/2020,81,0
12/31/2020,77,0.12
1/1/2021,76,0.02
1/2/2021,80,0.02
1/3/2021,80,0
1/4/2021,78,0.42
1/5/2021,80,0.59
1/6/2021,79,0.18
1/7/2021,79,3.27
1/8/2021,81,0
1/9/2021,75,0.5
1/10/2021,78,0.1
1/11/2021,76,0.66
1/12/2021,78,0
1/13/2021,79,0
1/14/2021,79,0.2
1/15/2021,77,0.27
1/16/2021,80,0
1/17/2021,80,0
1/18/2021,76,0
1/19/2021,80,0
1/20/2021,82,0.01
1/21/2021,83,0.01
1/22/2021,83,0
1/23/2021,80,0
1/24/2021,79,0
1/25/2021,79,0
1/26/2021,79,0
1/27/2021,79,0
1/28/2021,81,0
1/29/2021,79,0
1/30/2021,81,0
1/31/2021,82,0
2/1/2021,80,0.03
2/2/2021,82,0.01
2/3/2021,80,0
2/4/2021,80,0
2/5/2021,80,0
2/6/2021,81,0
2/7/2021,80,0.12
2/8/2021,80,0.01
2/9/2021,79,0
2/10/2021,81,0
2/11/2021,,
2/12/2021,,
2/13/2021,,
2/14/2021,83,0
2/15/2021,83,0
2/16/2021,82,0
2/17/2021,83,0
2/18/2021,83,0
2/19/2021,83,0
2/20/2021,,
2/21/2021,,
2/22/2021,85,0
2/23/2021,85,0
2/24/2021,85,0
2/25/2021,84,0
2/26/2021,85,0
2/27/2021,83,0
2/28/2021,83,0
3/1/2021,84,0
3/2/2021,83,0
3/3/2021,83,0
3/4/2021,85,0
3/5/2021,84,0
3/6/2021,81,0
3/7/2021,83,0.4
3/8/2021,82,0.02
3/9/2021,83,0.03
3/10/2021,81,0
3/11/2021,81,0.41
3/12/2021,84,0
3/13/2021,86,0
3/14/2021,84,0
3/15/2021,86,0
3/16/2021,85,0
3/17/2021,85,0
3/18/2021,84,0
3/19/2021,83,0
3/20/2021,81,0
3/21/2021,81,1.2
3/22/2021,83,0
3/23/2021,83,0
3/24/2021,80,0.21
3/25/2021,79,0
3/26/2021,83,0
3/27/2021,80,0
3/28/2021,79,0.02
3/29/2021,82,0.17
3/30/2021,83,0.14
3/31/2021,83,0
4/1/2021,85,0
4/2/2021,85,0
4/3/2021,83,0
4/4/2021,83,0
4/5/2021,86,0
4/6/2021,86,0
4/7/2021,83,0
4/8/2021,83,0.31
4/9/2021,84,0
4/10/2021,80,0.03
4/11/2021,81,0.13
4/12/2021,79,2.04
4/13/2021,80,0.42
4/14/2021,79,0.71
4/15/2021,78,1.76
4/16/2021,82,0.56
4/17/2021,82,0.02
4/18/2021,79,0
4/19/2021,84,0
4/20/2021,84,0
4/21/2021,83,0
4/22/2021,84,0
4/23/2021,83,0
4/24/2021,84,0
4/25/2021,84,0
4/26/2021,85,0
4/27/2021,85,0
4/28/2021,85,0
4/29/2021,85,0
4/30/2021,81,0
5/1/2021,83,0.53
5/2/2021,81,0.63
5/3/2021,79,0.69
5/4/2021,81,2.48
5/5/2021,82,0.75
5/6/2021,80,0
5/7/2021,79,0.76
5/8/2021,84,1.72
5/9/2021,81,0
5/10/2021,81,0.81
5/11/2021,83,0
5/12/2021,81,0
5/13/2021,79,0.05
5/14/2021,79,2.35
5/15/2021,82,0.5
5/16/2021,82,0.33
5/17/2021,85,0
5/18/2021,85,0
5/19/2021,84,0.01
5/20/2021,81,0.3
5/21/2021,79,0.02
5/22/2021,82,0.2
5/23/2021,79,0.89
5/24/2021,79,0.28
5/25/2021,78,2.93
5/26/2021,77,1.67
5/27/2021,80,0.82
5/28/2021,82,0.3
5/29/2021,83,0
5/30/2021,83,0
5/31/2021,83,0
6/1/2021,83,0.06
6/2/2021,83,0
6/3/2021,81,0.03
6/4/2021,80,1.13
6/5/2021,78,1.99
6/6/2021,81,1.01
6/7/2021,83,0
6/8/2021,79,0
6/9/2021,80,1.44
6/10/2021,81,0.42
6/11/2021,82,0.02
6/12/2021,81,0
6/13/2021,81,0.25
6/14/2021,79,1.73
6/15/2021,81,0.02
6/16/2021,81,0.11
6/17/2021,83,0.07
6/18/2021,85,0
6/19/2021,84,0
6/20/2021,83,0
6/21/2021,84,0
6/22/2021,83,0
6/23/2021,83,0
6/24/2021,81,0.18
6/25/2021,83,0
6/26/2021,82,0
6/27/2021,82,0
6/28/2021,82,0
6/29/2021,82,0
6/30/2021,82,0
7/1/2021,80,0.01
7/2/2021,80,0.1
7/3/2021,82,0
7/4/2021,81,0.24
7/5/2021,83,0.41
7/6/2021,82,0.01
7/7/2021,81,0
7/8/2021,82,0.37
7/9/2021,78,0
7/10/2021,78,1.34
7/11/2021,82,0.12
7/12/2021,81,0
7/13/2021,82,0
7/14/2021,82,0
7/15/2021,83,0
7/16/2021,82,0
7/17/2021,81,0.09
7/18/2021,82,0.02
7/19/2021,83,0.07
7/20/2021,83,0
7/21/2021,83,0
7/22/2021,82,0
7/23/2021,81,0
7/24/2021,78,0.09
7/25/2021,79,0
7/26/2021,78,0.94
7/27/2021,81,0.27
7/28/2021,82,0
7/29/2021,82,0
7/30/2021,82,0
7/31/2021,83,0
8/1/2021,82,0
8/2/2021,82,0
8/3/2021,81,0
8/4/2021,83,0
8/5/2021,83,0
8/6/2021,81,0
8/7/2021,81,0
8/8/2021,80,0
8/9/2021,80,0.06
8/10/2021,82,0
8/11/2021,82,0
8/12/2021,80,0
8/13/2021,82,0
8/14/2021,81,0
8/15/2021,81,0
8/16/2021,81,0
8/17/2021,82,0
8/18/2021,79,0.01
8/19/2021,82,0.16
8/20/2021,83,0
8/21/2021,80,0
8/22/2021,80,0.07
8/23/2021,,
8/24/2021,80,0.08
8/25/2021,80,0.05
8/26/2021,78,1.22
8/27/2021,81,0.08
8/28/2021,80,0.07
8/29/2021,79,0.39
8/30/2021,81,0.49
8/31/2021,82,0.02
9/1/2021,82,0.03
9/2/2021,80,0.11
9/3/2021,80,0.09
9/4/2021,79,0.34
9/5/2021,79,0.13
9/6/2021,81,0.71
9/7/2021,81,0.19
9/8/2021,81,0
9/9/2021,82,0
9/10/2021,83,0
9/11/2021,82,0
9/12/2021,82,0
9/13/2021,80,0.35
9/14/2021,82,0.39
9/15/2021,82,0.03
9/16/2021,80,0.57
9/17/2021,83,0.01
9/18/2021,82,0.01
9/19/2021,83,0
9/20/2021,80,0.19
9/21/2021,81,0.14
9/22/2021,84,0
9/23/2021,83,0.19
9/24/2021,81,0
9/25/2021,81,1.59
9/26/2021,80,0.03
9/27/2021,80,0.69
9/28/2021,77,0.05
9/29/2021,82,0.22
9/30/2021,81,0
10/1/2021,76,0.29
10/2/2021,80,0.46
10/3/2021,80,0
10/4/2021,78,0.03
10/5/2021,77,0.22
10/6/2021,79,1.08
10/7/2021,82,0
10/8/2021,82,0
10/9/2021,81,0
10/10/2021,82,0.06
10/11/2021,79,0.93
10/12/2021,80,0.01
10/13/2021,82,0.19
10/14/2021,82,0
10/15/2021,83,0
10/16/2021,79,0.22
10/17/2021,81,0.13
10/18/2021,82,0
10/19/2021,81,0
10/20/2021,80,0.07
10/21/2021,79,3.67
10/22/2021,80,0.21
10/23/2021,80,0.13
10/24/2021,80,0.13
10/25/2021,81,0
10/26/2021,78,0.02
10/27/2021,78,1.72
10/28/2021,78,0.2
10/29/2021,78,0.39
10/30/2021,77,0.16
10/31/2021,79,1.99
11/1/2021,79,0.21
11/2/2021,80,0.14
11/3/2021,77,3.13
11/4/2021,78,0.37
11/5/2021,79,0.77
11/6/2021,78,0.02
11/7/2021,77,1.9
11/8/2021,75,1.11
11/9/2021,76,1.63
11/10/2021,77,1
11/11/2021,79,0.33
11/12/2021,79,0.31
11/13/2021,78,0.24
11/14/2021,78,0.65
11/15/2021,78,1.18
11/16/2021,79,0.73
11/17/2021,78,0.22
11/18/2021,79,0.78
11/19/2021,79,0
11/20/2021,80,1.58
11/21/2021,81,0
11/22/2021,81,0
11/23/2021,80,0
11/24/2021,77,1.66
11/25/2021,76,2.48
11/26/2021,80,0.2
11/27/2021,79,1.29
11/28/2021,78,3.44
11/29/2021,78,0
11/30/2021,78,3.35
12/1/2021,79,0
12/2/2021,80,0
12/3/2021,82,0
12/4/2021,81,0
12/5/2021,82,0
12/6/2021,80,0
12/7/2021,81,1.55
12/8/2021,82,0
12/9/2021,81,0.04
12/10/2021,81,0
12/11/2021,82,0
12/12/2021,80,0
12/13/2021,78,0
12/14/2021,79,0.01
12/15/2021,78,0.01
12/16/2021,80,0.08
12/17/2021,80,0.04
12/18/2021,80,0
12/19/2021,81,0.09
12/20/2021,81,0
12/21/2021,81,0
12/22/2021,80,0
12/23/2021,79,0
12/24/2021,79,0
12/25/2021,78,0
12/26/2021,78,0
12/27/2021,79,0
12/28/2021,80,0
12/29/2021,80,0
12/30/2021,79,0
12/31/2021,80,0.05
1/1/2022,81,0.02
1/2/2022,81,0.09
1/3/2022,78,0.06
1/4/2022,79,0
1/5/2022,,
1/6/2022,80,0
1/7/2022,83,0
1/8/2022,80,0
1/9/2022,79,0.14
1/10/2022,78,0
1/11/2022,,
1/12/2022,,
1/13/2022,83,0
1/14/2022,81,0
1/15/2022,,
1/16/2022,84,0
1/17/2022,81,0
1/18/2022,,
1/19/2022,80,0
1/20/2022,,
1/21/2022,77,0
1/22/2022,76,0
1/23/2022,,
1/24/2022,,
1/25/2022,,
1/26/2022,78,0.06
1/27/2022,,
1/28/2022,78,0
1/29/2022,,
1/30/2022,81,0.01
1/31/2022,81,0
2/1/2022,,
2/2/2022,,
2/3/2022,79,0
2/4/2022,85,0
2/5/2022,,
2/6/2022,,
2/7/2022,,
2/8/2022,83,0
2/9/2022,80,0
2/10/2022,,
2/11/2022,,
2/12/2022,81,0
2/13/2022,76,0.25
2/14/2022,81,0.01
2/15/2022,,
2/16/2022,77,0
2/17/2022,,
2/18/2022,81,0
2/19/2022,77,0
2/20/2022,,
2/21/2022,82,0
2/22/2022,84,0
2/23/2022,,
2/24/2022,81,0
2/25/2022,85,0
2/26/2022,,
2/27/2022,80,0
2/28/2022,81,0
3/1/2022,,
3/2/2022,,
3/3/2022,84,0.01
3/4/2022,80,0
3/5/2022,83,0
3/6/2022,,
3/7/2022,,
3/8/2022,,
3/9/2022,83,0
3/10/2022,90,0
3/11/2022,,
3/12/2022,80,0
3/13/2022,,
3/14/2022,80,0
3/15/2022,,
3/16/2022,,
3/17/2022,83,0
3/18/2022,,
3/19/2022,,
3/20/2022,,
3/21/2022,86,0
3/22/2022,,
3/23/2022,83,0
3/24/2022,,
3/25/2022,,
3/26/2022,85,0
3/27/2022,80,0.01
3/28/2022,,
3/29/2022,,
3/30/2022,81,1.25
3/31/2022,82,0.01
4/1/2022,81,0.2
4/2/2022,80,0.06
4/3/2022,80,0.19
4/4/2022,83,1.85
4/5/2022,79,0.91
4/6/2022,80,0.23
4/7/2022,81,0.29
4/8/2022,77,2.5
4/9/2022,77,0.69
4/10/2022,77,0.94
4/11/2022,81,0
4/12/2022,80,0.11
4/13/2022,80,0.61
4/14/2022,83,0.02
4/15/2022,85,0
4/16/2022,84,0
4/17/2022,82,0
